#date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Jul 18",2458682.6687,"g", -15.21, 19.16,0.12, 19.74,"P48+ZTF","1","None","None",True,True
"2019 Jul 18",2458682.7362,"r", -16.29, 18.08,0.08, 19.86,"P48+ZTF","1","None","None",True,True
"2019 Jul 18",2458682.7371,"r", -16.19, 18.18,0.08, 19.76,"P48+ZTF","3","None","None",True,True
"2019 Jul 19",2458683.6923,"g", -15.18, 19.18,0.12, 20.21,"P48+ZTF","3","None","None",True,True
"2019 Jul 20",2458684.7066,"g", -15.09, 19.28,0.14, 20.39,"P48+ZTF","1","None","None",True,True
"2019 Jul 21",2458685.6865,"g", -15.03, 19.33,0.14, 20.54,"P48+ZTF","3","None","None",True,True
"2019 Jul 21",2458685.6873,"g", -15.15, 19.22,0.10, 20.63,"P48+ZTF","1","None","None",True,True
"2019 Jul 22",2458686.6700,"g", -15.05, 19.32,0.13, 20.19,"P48+ZTF","3","None","None",True,True
"2019 Jul 26",2458690.6731,"r", -15.90, 18.46,0.09, 20.31,"P48+ZTF","1","None","None",True,True
"2019 Jul 26",2458690.6970,"g", -14.85, 19.52,0.17, 20.41,"P48+ZTF","1","None","None",True,True
"2019 Jul 28",2458692.6772,"r", -15.79, 18.57,0.14, 19.07,"P48+ZTF","1","None","None",True,True
"2019 Jul 28",2458692.6968,"g", -14.78, 19.59,0.17, 20.45,"P48+ZTF","1","None","None",True,True
"2019 Aug 21",2458716.6448,"r", -15.02, 19.35,0.15, 19.79,"P48+ZTF","1","None","None",True,True
