MJD,MAG,MAGERR,FLT,Vega
57656.529,16.551,0.012,i,0
57656.543,16.94,0.03,bs,1
57656.544,17.02,0.034,bs,1
57656.546,16.535,0.044,vs,1
57656.547,16.562,0.039,vs,1
57656.548,16.654,0.024,g,0
57656.55,16.623,0.025,g,0
57656.551,16.319,0.032,r,0
57656.552,16.303,0.034,r,0
57656.554,16.508,0.035,i,0
57656.555,16.548,0.033,i,0
57657.412,16.712,0.008,bs,1
57657.414,16.739,0.011,bs,1
57657.416,16.287,0.009,vs,1
57657.418,16.272,0.009,vs,1
57657.419,16.429,0.008,g,0
57657.421,16.42,0.008,g,0
57657.423,16.084,0.007,r,0
57657.425,16.082,0.009,r,0
57657.427,16.283,0.01,i,0
57657.428,16.284,0.01,i,0
57657.502,16.787,0.023,bs,1
57657.503,16.64,0.02,bs,1
57657.505,16.219,0.017,vs,1
57657.506,16.262,0.017,vs,1
57657.507,16.383,0.013,g,0
57657.509,16.371,0.015,g,0
57657.511,16.051,0.01,r,0
57657.512,16.08,0.012,r,0
57657.513,16.216,0.025,i,0
57657.514,16.276,0.02,i,0
57657.58,16.303,0.009,vs,1
57657.582,16.447,0.008,g,0
57657.582,16.629,0.031,bs,1
57657.584,16.429,0.008,g,0
57657.585,16.175,0.028,vs,1
57657.586,16.024,0.008,r,0
57657.586,16.243,0.028,vs,1
57657.587,16.069,0.01,r,0
57657.588,16.435,0.017,g,0
57657.589,16.271,0.01,i,0
57657.589,16.427,0.019,g,0
57657.591,16.264,0.011,i,0
57657.591,16.089,0.012,r,0
57657.592,16.089,0.018,r,0
57657.593,16.237,0.022,i,0
57657.595,16.248,0.017,i,0
