,SW_BSG value,SW_BSG error
Re (R_sun),18.958805415536894,0.7038481881972254
Me (M_sun),0.3667988270485257,0.00817522338430542
ve (1e9 cm/s),5.584052794056802,0.1487560613819366
Off (days),0.5570146000425048,0.0018362084490334849
