,PIRO_2020 value,PIRO_2020 error
Re (R_sun),14.086712619726098,6.421277867803017
Me (M_sun),0.4488412237333981,460419.2100433291
ve (1e9 cm/s),1.946868959486376,285298.4824232366
Off (days),0.49999999999990724,0.4326464167027065
