,SW_RSG value,SW_RSG error
Re (R_sun),2.5307020744796818,0.6248130745360101
Me (M_sun),0.14305285752735708,0.026030261368835357
ve (1e9 cm/s),3.2851777381792973,0.23230136828165093
Off (days),0.08097126340691975,0.3591000654587335
