,PIRO_2020 value,PIRO_2020 error
Re (R_sun),1.430856222004351,0.38269002345090875
Me (M_sun),0.6061712982471462,1421621.0985889134
ve (1e9 cm/s),5.146927194654588,1724401.490812467
Off (days),0.4498430559429311,0.2481888009813971
