MJD,MAG,MAGERR,FLT,Vega
55719.022,18.672,0.057,W2,1.0
55720.166,18.725,0.115,W2,1.0
55720.64,18.821,0.121,W2,1.0
55721.854,18.605,0.075,W2,1.0
55723.059,18.675,0.112,W2,1.0
55723.859,18.638,0.134,W2,1.0
55725.128,18.756,0.051,W2,1.0
55725.253,19.046,0.057,W2,1.0
55726.657,19.039,0.062,W2,1.0
55726.718,18.735,0.071,W2,1.0
55727.855,18.968,0.095,W2,1.0
55727.792,18.784,0.06,W2,1.0
55729.338,18.941,0.076,W2,1.0
55729.598,18.699,0.054,W2,1.0
55730.534,18.721,0.051,W2,1.0
55731.604,18.807,0.067,W2,1.0
55732.674,18.821,0.052,W2,1.0
55733.891,18.848,0.058,W2,1.0
55734.747,18.84,0.056,W2,1.0
55735.952,18.821,0.057,W2,1.0
55736.552,18.982,0.067,W2,1.0
55737.556,19.277,0.082,W2,1.0
55738.76,19.15,0.08,W2,1.0
55740.236,19.601,0.128,W2,1.0
55741.368,19.555,0.127,W2,1.0
55741.768,19.905,0.16,W2,1.0
55742.84,20.07,0.183,W2,1.0
55743.844,19.795,0.146,W2,1.0
55745.248,19.849,0.152,W2,1.0
55746.12,20.51,0.281,W2,1.0
55750.604,20.201,0.177,W2,1.0
55754.616,20.568,0.239,W2,1.0
55758.554,19.846,0.144,W2,1.0
55762.568,20.427,0.247,W2,1.0
55766.519,20.317,0.202,W2,1.0
55770.802,20.596,0.255,W2,1.0
