,SW_BSG value,SW_BSG error
Re (R_sun),3.92063758853069,0.8952401440827139
Me (M_sun),1.2859154656291139,0.29117338408292376
ve (1e9 cm/s),3.357026563070061,0.3522096565408828
Off (days),0.11741654225145082,0.3535225101595729
