,PIRO_2020 value,PIRO_2020 error
Re (R_sun),21.310574986619468,64.86065444466759
Me (M_sun),0.2862459329399831,1594490.5114994203
ve (1e9 cm/s),1.2670772259461796,1008294.5420407153
Off (days),0.4999999999973463,4.24209672067308
