,SW_RSG value,SW_RSG error
Re (R_sun),29.57731940000651,16.990375597036394
Me (M_sun),0.06770473408548194,0.014547518153592405
ve (1e9 cm/s),0.929342922604275,0.1641263579323909
Off (days),0.9999999999999999,0.6129491486657839
