,SW_RSG value,SW_RSG error
Re (R_sun),121.70787572760618,53.707509257658444
Me (M_sun),0.0803640400875309,0.01746726019931884
ve (cm/s),726425749.3855635,39407294.38029904
Off (days),0.001000000000000498,0.6643664975593034
