,PIRO_2020 value,PIRO_2020 error
Re (R_sun),163.5574572011973,32.4236648790804
Me (M_sun),0.1914843102636721,0.02191532832626635
ve (1e9 cm/s),0.8203311747741925,0.0599160269349133
Off (days),7.94414245221137e-14,0.15280389414212342
