,SW_BSG value,SW_BSG error
Re (R_sun),50.340504819399136,4.900758460116001
Me (M_sun),0.5465369609509512,0.03962731351072813
ve (1e9 cm/s),0.7187030095052681,0.043838628609598786
Off (days),0.19999999999999998,0.03724605275280673
