,Sapir & Waxman [n = 3] value,Sapir & Waxman [n = 3] error
Re (R_sun),82.72137726820017,8.053107634833111
Me (M_sun),0.33131376323667067,0.02423733965887993
ve (1e9 cm/s),0.7406590194750949,0.0448440251511063
Off (days),0.19999999999999998,0.03724605486184019
