,PIRO_2020 value,PIRO_2020 error
re (R_sun),125.3737377295887,62.61299300321376
me (M_sun),0.1984035367942423,1134901.9852245925
ve (1e9 cm/s),0.47487773340475076,388054.4387799992
Off (days),1.9649653314215576e-21,0.24365529368499608
