,SW_RSG value,SW_RSG error
Re (R_sun),34.13442975745545,2.852695292259632
Me (M_sun),0.22912682936807655,0.00932866307216486
ve (1e9 cm/s),1.5809564616980694,0.038589510264686364
Off (days),1.4492156661062852,0.18047896812208788
