,SW_BSG value,SW_BSG error
Re (R_sun),67.69930219409768,21.842859520022476
Me (M_sun),1.27880603133058,0.39456718197791796
ve (1e9 cm/s),0.4888412759017807,0.07180608475921864
Off (days),2.9643550846924594e-20,0.2633458141198425
