Mags returned by SW_BSG, time 
25.15945389761963, 0.01 
22.231877651443686, 0.150303030303045 
21.573194379102695, 0.29060606060609 
21.198958106832137, 0.430909090909135 
20.94275818723623, 0.57121212121218 
20.751143759312804, 0.711515151515225 
20.600151627537727, 0.85181818181827 
20.476990554752366, 0.992121212121315 
20.374039662033972, 1.13242424242436 
20.286398843566857, 1.272727272727405 
20.210735217517048, 1.41303030303045 
20.144681655361957, 1.553333333333495 
20.086498164946526, 1.69363636363654 
20.03486945267742, 1.833939393939585 
19.98877789466065, 1.97424242424263 
19.947420581064005, 2.114545454545675 
19.910153297121347, 2.25484848484872 
19.876451599472063, 2.3951515151517646 
19.845883097291505, 2.53545454545481 
19.818087284978517, 2.6757575757578547 
19.792760589813845, 2.8160606060609 
19.769645099210585, 2.9563636363639447 
19.74851993427543, 3.09666666666699 
19.72919455935665, 3.236969696970035 
19.71150352987121, 3.3772727272730796 
19.695302323631687, 3.517575757576125 
19.68046399880448, 3.6578787878791696 
19.666876489861405, 3.798181818182215 
19.65444040118342, 3.9384848484852597 
19.64306719265369, 4.0787878787883045 
19.63267767680778, 4.21909090909135 
19.623200765689283, 4.359393939394395 
19.61457241939702, 4.49969696969744 
19.606734758724006, 4.640000000000485 
19.59963531220187, 4.780303030303529 
19.59322637393276, 4.920606060606575 
19.587464453283733, 5.06090909090962 
19.582309801176844, 5.201212121212665 
19.57772600058122, 5.3415151515157095 
19.57367961108568, 5.481818181818755 
19.57013985923958, 5.6221212121218 
19.567078367798906, 5.762424242424845 
19.564468918182797, 5.90272727272789 
19.56228724139222, 6.0430303030309345 
19.56051083341395, 6.18333333333398 
19.559118791764583, 6.323636363637025 
19.55809167034908, 6.46393939394007 
19.557411350237956, 6.604242424243115 
19.557060924324052, 6.744545454546159 
19.557024594116992, 6.884848484849205 
19.55728757718272, 7.02515151515225 
19.557836023944354, 7.165454545455295 
19.558656942737258, 7.3057575757583395 
19.55973813216039, 7.446060606061385 
19.561068119892802, 7.58636363636443 
19.562636107252207, 7.726666666667475 
19.564431918864756, 7.86696969697052 
19.566445956894306, 8.007272727273564 
19.568669159347444, 8.14757575757661 
19.57109296202917, 8.287878787879654 
19.57370926377473, 8.4281818181827 
19.576510394626993, 8.568484848485745 
19.57948908666698, 8.70878787878879 
19.58263844723819, 8.849090909091835 
19.585951934334414, 8.98939393939488 
19.58942333394613, 9.129696969697925 
19.593046739182633, 9.27000000000097 
19.596816531006702, 9.410303030304014 
19.600727360435634, 9.550606060607059 
19.604774132077807, 9.690909090910106 
19.60895198888715, 9.83121212121315 
19.613256298029746, 9.971515151516195 
19.61768263776748, 10.11181818181924 
19.62222678527276, 10.252121212122285 
19.626884705296703, 10.39242424242533 
19.63165253962076, 10.532727272728375 
19.63652659722801, 10.67303030303142 
19.64150334513662, 10.813333333334464 
19.646579399843056, 10.95363636363751 
19.65175151932735, 11.093939393940556 
19.65701659557722, 11.2342424242436 
19.662371647591314, 11.374545454546645 
19.667813814825713, 11.51484848484969 
19.673340351050527, 11.655151515152735 
19.67894861858659, 11.79545454545578 
19.684636082894553, 11.935757575758824 
19.690400307491103, 12.07606060606187 
19.69623894916902, 12.216363636364916 
19.702149753499864, 12.35666666666796 
19.708130550599474, 12.496969696971005 
19.714179251138454, 12.63727272727405 
19.72029384258079, 12.777575757577095 
19.72647238563546, 12.91787878788014 
19.732713010906686, 13.058181818183185 
19.739013915729927, 13.19848484848623 
19.745373361181407, 13.338787878789274 
19.75178966925003, 13.479090909092319 
19.758261220161348, 13.619393939395366 
19.76478644984391, 13.75969696969841 
19.771363847529184, 13.900000000001455 
