Mags returned by SW_RSG, time 
25.793641137935644, 0.01 
22.54520361298301, 0.150303030303045 
21.81052140420932, 0.29060606060609 
21.391949547720472, 0.430909090909135 
21.104774778021625, 0.57121212121218 
20.889603580147117, 0.711515151515225 
20.71978410076291, 0.85181818181827 
20.581077148432524, 0.992121212121315 
20.46499167470542, 1.13242424242436 
20.36606339678724, 1.272727272727405 
20.280572646119825, 1.41303030303045 
20.205875506286645, 1.553333333333495 
20.140027061715088, 1.69363636363654 
20.0815560460276, 1.833939393939585 
20.029323363673992, 1.97424242424263 
19.98242965294856, 2.114545454545675 
19.940152834821895, 2.25484848484872 
19.901904700159196, 2.3951515151517646 
19.867199980292114, 2.53545454545481 
19.83563383413317, 2.6757575757578547 
19.80686514980854, 2.8160606060609 
19.780603950424066, 2.9563636363639447 
19.756601752523984, 3.09666666666699 
19.73464408543409, 3.236969696970035 
19.714544616512665, 3.3772727272730796 
19.69614048658527, 3.517575757576125 
19.67928856896407, 3.6578787878791696 
19.663862441518283, 3.798181818182215 
19.649749915119774, 3.9384848484852597 
19.636851000469076, 4.0787878787883045 
19.62507622345769, 4.21909090909135 
19.61434521995801, 4.359393939394395 
19.60458555637942, 4.49969696969744 
19.5957317339568, 4.640000000000485 
19.587724343575694, 4.780303030303529 
19.580509344717285, 4.920606060606575 
19.57403744735003, 5.06090909090962 
19.568263579683205, 5.201212121212665 
19.56314642790941, 5.3415151515157095 
19.558648036603685, 5.481818181818755 
19.554733460470246, 5.6221212121218 
19.55137045974901, 5.762424242424845 
19.548529232901142, 5.90272727272789 
19.54618218125218, 6.0430303030309345 
19.544303701134755, 6.18333333333398 
19.542869999779953, 6.323636363637025 
19.541858931788614, 6.46393939394007 
19.541249853494882, 6.604242424243115 
19.541023492934062, 6.744545454546159 
19.541161833460087, 6.884848484849205 
19.54164800933685, 7.02515151515225 
19.542466211862234, 7.165454545455295 
19.543601604781376, 7.3057575757583395 
19.545040247913214, 7.446060606061385 
19.5467690280565, 7.58636363636443 
19.548775596362688, 7.726666666667475 
19.551048311466623, 7.86696969697052 
19.55357618775473, 8.007272727273564 
19.55634884822678, 8.14757575757661 
19.559356481473078, 8.287878787879654 
19.56258980234577, 8.4281818181827 
19.566040015952293, 8.568484848485745 
19.569698784641837, 8.70878787878879 
19.57355819769293, 8.849090909091835 
19.57761074344281, 8.98939393939488 
19.581849283627832, 9.129696969697925 
19.586267029728944, 9.27000000000097 
19.590857521138368, 9.410303030304014 
19.595614604982867, 9.550606060607059 
19.600532417455987, 9.690909090910106 
19.605605366526756, 9.83121212121315 
19.61082811590564, 9.971515151516195 
19.61619557016041, 10.11181818181924 
19.621702860884977, 10.252121212122285 
19.627345333833752, 10.39242424242533 
19.633118536942284, 10.532727272728375 
19.639018209162476, 10.67303030303142 
19.64504027004724, 10.813333333334464 
19.65118081002551, 10.95363636363751 
19.657436081313833, 11.093939393940556 
19.663802489415502, 11.2342424242436 
19.670276585162647, 11.374545454546645 
19.6768550572605, 11.51484848484969 
19.68353472529654, 11.655151515152735 
19.690312533180474, 11.79545454545578 
19.69718554298387, 11.935757575758824 
19.704150929150686, 12.07606060606187 
19.7112059730526, 12.216363636364916 
19.71834805786488, 12.35666666666796 
19.725574663740638, 12.496969696971005 
19.73288336326303, 12.63727272727405 
19.740271817156575, 12.777575757577095 
19.74773777024025, 12.91787878788014 
19.755279047606265, 13.058181818183185 
19.76289355100983, 13.19848484848623 
19.770579255456074, 13.338787878789274 
19.77833420597154, 13.479090909092319 
19.78615651454853, 13.619393939395366 
19.79404435725133, 13.75969696969841 
19.80199597147431, 13.900000000001455 
