MJD,MAG,MAGERR,FLT,Vega
56460.9,15.06,0.03,g,0.0
56461.9,15.06,0.03,g,0.0
56462.9,15.01,0.03,g,0.0
56463.9,14.97,0.04,g,0.0
56464.9,15.0,0.04,g,0.0
56466.9,14.84,0.04,g,0.0
56468.9,14.91,0.04,g,0.0
56455.8,14.52,0.02,r,0.0
56456.8,14.68,0.03,r,0.0
56457.9,14.76,0.04,r,0.0
56458.8,14.83,0.04,r,0.0
56459.9,14.81,0.02,r,0.0
56460.9,14.76,0.03,r,0.0
56461.9,14.72,0.03,r,0.0
56462.9,14.6,0.03,r,0.0
56463.9,14.6,0.03,r,0.0
56464.9,14.55,0.04,r,0.0
56466.9,14.42,0.03,r,0.0
56468.9,14.33,0.03,r,0.0
56455.8,14.49,0.03,i,0.0
56456.8,14.64,0.03,i,0.0
56457.9,14.82,0.05,i,0.0
56458.8,14.82,0.05,i,0.0
56459.9,14.81,0.03,i,0.0
56460.9,14.8,0.03,i,0.0
56461.9,14.71,0.03,i,0.0
56462.9,14.64,0.04,i,0.0
56463.9,14.63,0.04,i,0.0
56464.9,14.62,0.04,i,0.0
56466.9,14.53,0.04,i,0.0
56468.9,14.49,0.04,i,0.0
56455.8,14.58,0.04,z,0.0
56456.8,14.69,0.04,z,0.0
56457.9,14.92,0.07,z,0.0
56458.8,14.72,0.05,z,0.0
56459.9,14.84,0.04,z,0.0
56460.9,14.84,0.04,z,0.0
56461.9,14.71,0.04,z,0.0
56462.9,14.75,0.04,z,0.0
56463.9,14.69,0.04,z,0.0
56464.9,14.73,0.05,z,0.0
56466.9,14.54,0.04,z,0.0
56468.9,14.69,0.04,z,0.0
