Mags returned by PIRO_2020, time 
25.637611384930743, 0.01 
22.700432423346673, 0.150303030303045 
22.02433475652544, 0.29060606060609 
21.63390041897001, 0.430909090909135 
21.362590783532504, 0.57121212121218 
21.156738905662603, 0.711515151515225 
20.992215176254863, 0.85181818181827 
20.85610669866713, 0.992121212121315 
20.740702454278647, 1.13242424242436 
20.641033825992675, 1.272727272727405 
20.553714500569985, 1.41303030303045 
20.476334709509075, 1.553333333333495 
20.407119753246224, 1.69363636363654 
20.344725607668146, 1.833939393939585 
20.28811052115209, 1.97424242424263 
20.23645106893227, 2.114545454545675 
20.189085404509463, 2.25484848484872 
20.145473787377732, 2.3951515151517646 
20.105170444223543, 2.53545454545481 
20.067803075073627, 2.6757575757578547 
20.033057643451365, 2.8160606060609 
20.000666898006763, 2.9563636363639447 
19.970401580026557, 3.09666666666699 
19.94206359751437, 3.236969696970035 
19.915480661474547, 3.3772727272730796 
19.890502024617575, 3.517575757576125 
19.866995061812062, 3.6578787878791696 
19.844842500716336, 3.798181818182215 
19.823940159969723, 3.9384848484852597 
19.8041950874917, 4.0787878787883045 
19.785524017038632, 4.21909090909135 
19.767852080033585, 4.359393939394395 
19.75111172374292, 4.49969696969744 
19.735241797460016, 4.640000000000485 
19.720186776405455, 4.780303030303529 
19.705896099229285, 4.920606060606575 
19.69232359977979, 5.06090909090962 
19.679427017530866, 5.201212121212665 
19.66716757398908, 5.3415151515157095 
19.65550960471952, 5.481818181818755 
19.644420238476023, 5.6221212121218 
19.633869116401588, 5.762424242424845 
19.62382814545823, 5.90272727272789 
19.61427128121357, 6.0430303030309345 
19.605174335900294, 6.18333333333398 
19.59651480831121, 6.323636363637025 
19.588271732624897, 6.46393939394007 
19.580425543697118, 6.604242424243115 
19.57295795671889, 6.744545454546159 
19.565851859447214, 6.884848484849205 
19.55909121546985, 7.02515151515225 
19.55266097718043, 7.165454545455295 
19.54654700732143, 7.3057575757583395 
19.540736008105895, 7.446060606061385 
19.535215457059316, 7.58636363636443 
19.529973548834125, 7.726666666667475 
19.524999142344335, 7.86696969697052 
19.520281712649272, 8.007272727273564 
19.515811307085475, 8.14757575757661 
19.5115785052063, 8.287878787879654 
19.50757438214093, 8.4281818181827 
19.503790475029795, 8.568484848485745 
19.500218752232968, 8.70878787878879 
19.496851585042112, 8.849090909091835 
19.493681721656664, 8.98939393939488 
19.490702263211183, 9.129696969697925 
19.48790664166366, 9.27000000000097 
19.48528859937481, 9.410303030304014 
19.482842170226277, 9.550606060607059 
19.480561662141163, 9.690909090910106 
19.478441640884377, 9.83121212121315 
19.476476915032443, 9.971515151516195 
19.474662522013396, 10.11181818181924 
19.472993715127053, 10.252121212122285 
19.47146595146453, 10.39242424242533 
19.470074880653687, 10.532727272728375 
19.46881633436392, 10.67303030303142 
19.46768631650999, 10.813333333334464 
19.466680994100003, 10.95363636363751 
19.465796688677578, 11.093939393940556 
19.46502986831286, 11.2342424242436 
19.46437714010073, 11.374545454546645 
19.463835243128475, 11.51484848484969 
19.463401041878235, 11.655151515152735 
19.463071520032493, 11.79545454545578 
19.46284377465365, 11.935757575758824 
19.46271501071098, 12.07606060606187 
19.462682535930565, 12.216363636364916 
19.462743755945674, 12.35666666666796 
19.46289616972696, 12.496969696971005 
19.463137365273386, 12.63727272727405 
19.463465015546376, 12.777575757577095 
19.46387687463095, 12.91787878788014 
19.465939001160173, 13.058181818183185 
19.471230531770466, 13.19848484848623 
19.476796103939833, 13.338787878789274 
19.48263514462814, 13.479090909092319 
19.488747174033232, 13.619393939395366 
19.495131802826783, 13.75969696969841 
19.50178872955278, 13.900000000001455 
